Symbol,Name,Avg Volume,AUM
SPY,SPDR S&P 500 ETF,"67,519,625","$290,672,951.77 "
SQQQ,ProShares UltraPro Short QQQ,"57,987,109","$1,574,037.95 "
SLV,iShares Silver Trust,"53,924,594","$13,118,360.64 "
XLF,Financial Select Sector SPDR Fund,"53,677,770","$16,522,057.05 "
QQQ,Invesco QQQ,"46,146,828","$133,481,264.46 "
EEM,iShares MSCI Emerging Markets ETF,"39,075,383","$23,336,744.09 "
UVXY,ProShares Ultra VIX Short-Term Futures,"36,915,129","$1,234,406.70 "
TQQQ,ProShares UltraPro QQQ,"34,999,223","$8,611,631.45 "
SPXS,Direxion Daily S&P 500 Bear 3X Shares,"33,258,145","$754,798.47 "
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,"32,044,445","$1,017,316.94 "
GDX,VanEck Vectors Gold Miners ETF,"27,712,098","$17,029,957.18 "
IAU,iShares Gold Trust,"26,643,047","$31,297,451.36 "
SPXU,ProShares UltraPro Short S&P 500,"26,561,920","$909,941.65 "
EWZ,iShares MSCI Brazil ETF,"25,144,904","$4,706,610.32 "
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,"24,352,570","$25,628,255.30 "
XLE,Energy Select Sector SPDR Fund,"24,286,078","$8,389,347.76 "
IWM,iShares Russell 2000 ETF,"21,675,084","$38,638,227.66 "
EFA,iShares MSCI EAFE ETF,"21,055,693","$47,660,186.16 "
FXI,iShares China Large-Cap ETF,"18,478,527","$3,167,760.07 "
TZA,Direxion Daily Small Cap Bear 3X Shares,"16,910,572","$529,273.33 "
QID,ProShares UltraShort QQQ,"13,841,805","$287,852.63 "
GLD,SPDR Gold Trust,"13,658,138","$76,833,043.80 "
TNA,Direxion Daily Small Cap Bull 3X Shares,"13,540,900","$918,964.41 "
XLU,Utilities Select Sector SPDR Fund,"13,024,174","$11,303,060.50 "
SDS,ProShares UltraShort S&P 500,"12,013,862","$1,105,783.24 "
XLI,Industrial Select Sector SPDR Fund,"11,307,590","$12,230,487.99 "
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,"11,185,563","$55,311,679.64 "
IEMG,iShares Core MSCI Emerging Markets ETF,"10,941,646","$52,842,598.81 "
XLK,Technology Select Sector SPDR Fund,"10,904,758","$33,742,935.80 "
SH,ProShares Short S&P 500,"10,828,830","$2,908,984.13 "
VWO,Vanguard FTSE Emerging Markets ETF,"10,789,492","$59,314,668.59 "
TLT,iShares 20+ Year Treasury Bond ETF,"9,569,097","$18,692,439.33 "
GDXJ,VanEck Vectors Junior Gold Miners ETF,"9,243,847","$6,200,566.38 "
KRE,SPDR S&P Regional Banking ETF,"8,760,607","$1,166,520.35 "
SDOW,ProShares UltraPro Short Dow30,"8,661,810","$536,190.35 "
VEA,Vanguard FTSE Developed Markets ETF,"8,651,118","$74,867,419.42 "
SPXL,Direxion Daily S&P 500 Bull 3X Shares,"8,415,082","$1,406,216.25 "
JDST,Direxion Daily Junior Gold Miners Index Bear 2X Shares,"8,310,847","$92,309.36 "
XLP,Consumer Staples Select Sector SPDR Fund,"8,279,437","$13,606,722.99 "
DUST,Direxion Daily Gold Miners Bear 2X Shares,"8,184,647","$126,120.12 "
IEFA,iShares Core MSCI EAFE ETF,"7,739,809","$71,611,410.90 "
XLV,Health Care Select Sector SPDR Fund,"6,991,633","$23,287,507.11 "
JNK,SPDR Barclays High Yield Bond ETF,"6,900,753","$12,074,159.63 "
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,"6,668,412","$1,783,792.37 "
BKLN,Invesco Senior Loan ETF,"6,479,849","$3,936,994.13 "
PSQ,ProShares Short QQQ,"6,361,174","$789,838.26 "
XLB,Materials Select Sector SPDR ETF,"6,254,609","$3,885,524.85 "
AGG,iShares Core U.S. Aggregate Bond ETF,"6,130,671","$80,921,313.21 "
UCO,ProShares Ultra Bloomberg Crude Oil,"5,918,040","$1,135,840.30 "
EWG,iShares MSCI Germany ETF,"5,900,301","$2,977,389.95 "
SRTY,ProShares UltraPro Short Russell2000,"5,855,900","$152,566.10 "
EWJ,iShares MSCI Japan ETF,"5,832,585","$9,940,241.48 "
UPRO,ProShares UltraPro S&P 500,"5,659,697","$1,406,072.79 "
EWH,iShares MSCI Hong Kong ETF,"5,626,827","$1,100,433.15 "
IYR,iShares U.S. Real Estate ETF,"5,266,971","$3,588,500.11 "
UNG,United States Natural Gas Fund,"5,217,829","$327,691.22 "
USO,United States Oil Fund,"5,117,156","$4,009,065.66 "
EWT,iShares MSCI Taiwan ETF,"5,087,038","$4,331,244.98 "
BND,Vanguard Total Bond Market ETF,"4,943,450","$62,499,019.72 "
GOVT,iShares U.S. Treasury Bond ETF,"4,849,658","$14,845,324.34 "
EZU,iShares MSCI EMU ETF,"4,780,651","$4,222,470.21 "
JETS,U.S. Global Jets ETF,"4,774,646","$1,641,652.44 "
RSX,VanEck Vectors Russia ETF,"4,765,676","$1,039,005.98 "
XBI,SPDR S&P Biotech ETF,"4,515,885","$5,199,800.88 "
PFF,iShares Preferred and Income Securities ETF,"4,501,833","$16,978,048.26 "
VIXY,ProShares VIX Short-Term Futures ETF,"4,397,042","$273,225.84 "
IEF,iShares 7-10 Year Treasury Bond ETF,"4,388,994","$20,097,550.50 "
SJNK,SPDR Barclays Capital Short Term High Yield Bond ETF,"4,367,509","$3,341,718.04 "
XLRE,Real Estate Select Sector SPDR Fund,"4,354,627","$2,279,558.46 "
VNQ,Vanguard Real Estate Index Fund,"4,301,321","$27,582,231.12 "
VGK,Vanguard FTSE Europe ETF,"4,167,080","$12,254,746.04 "
ERX,Direxion Daily Energy Bull 2X Shares,"3,951,944","$251,789.68 "
EWY,iShares MSCI South Korea ETF,"3,866,626","$4,877,337.98 "
ASHR,Xtrackers Harvest CSI 300 China A-Shares Fund,"3,857,268","$1,792,079.53 "
IJR,iShares Core S&P Small-Cap ETF,"3,778,674","$41,274,832.86 "
INDA,iShares MSCI India ETF,"3,741,835","$3,102,777.46 "
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,"3,678,514","$16,061,096.73 "
USMV,iShares Edge MSCI Min Vol USA ETF,"3,648,054","$33,804,662.39 "
XRT,SPDR S&P Retail ETF,"3,593,221","$293,538.14 "
NUGT,Direxion Daily Gold Miners Bull 2X Shares,"3,575,176","$1,092,816.28 "
SVXY,ProShares Short VIX Short-Term Futures,"3,563,647","$369,650.14 "
MCHI,iShares MSCI China ETF,"3,439,894","$5,816,239.47 "
SCO,ProShares UltraShort Bloomberg Crude Oil,"3,374,921","$82,393.80 "
IVV,iShares Core S&P 500 ETF,"3,364,574","$212,989,665.34 "
TECS,Direxion Daily Technology Bear 3X Shares,"3,360,259","$67,122.46 "
XLC,Communication Services Select Sector SPDR Fund,"3,351,464","$10,084,146.06 "
XLY,Consumer Discretionary Select Sector SPDR Fund,"3,346,736","$15,561,987.44 "
FEZ,SPDR EURO STOXX 50 ETF,"3,343,333","$1,758,902.17 "
FAZ,Direxion Daily Financial Bear 3X Shares,"3,306,159","$272,764.53 "
EWU,iShares MSCI United Kingdom ETF,"3,285,799","$2,195,110.03 "
EWA,iShares MSCI-Australia ETF,"3,136,277","$1,185,415.47 "
DFEN,Direxion Daily Aerospace & Defense Bull 3X Shares,"3,098,009","$224,042.15 "
ACWI,iShares MSCI ACWI ETF,"3,077,556","$12,511,538.69 "
VOO,Vanguard S&P 500 ETF,"3,046,705","$159,939,700.93 "
ITB,iShares U.S. Home Construction ETF,"3,033,386","$2,370,554.39 "
DIA,SPDR Dow Jones Industrial Average ETF,"3,022,464","$22,816,486.02 "
ZSL,ProShares UltraShort Silver,"2,968,379","$47,374.87 "
SGOL,Aberdeen Standard Physical Gold Shares ETF,"2,960,477","$2,688,381.75 "
VTI,Vanguard Total Stock Market ETF,"2,947,994","$161,857,601.69 "
SHY,iShares 1-3 Year Treasury Bond ETF,"2,901,542","$21,505,660.76 "
